 STN,YYYYMMDD,   TG

  260,19700101,  -95
  260,19700102,    6
  260,19700103,   -2
  260,19700104,  -37
  260,19700105,  -25
  260,19700106,  -10
  260,19700107,  -41
  260,19700108,  -28
  260,19700109,    9
  260,19700110,   20
  260,19700111,   47
  260,19700112,   39
  260,19700113,   38
  260,19700114,   41
  260,19700115,   37
  260,19700116,   29
  260,19700117,   -8
  260,19700118,   21
  260,19700119,    2
  260,19700120,  -13
  260,19700121,  -31
  260,19700122,  -22
  260,19700123,   15
  260,19700124,   38
  260,19700125,   59
  260,19700126,   66
  260,19700127,   51
  260,19700128,   26
  260,19700129,   11
  260,19700130,   -9
  260,19700131,  -49
  260,19700201,  -60
  260,19700202,   34
  260,19700203,   55
  260,19700204,   36
  260,19700205,   20
  260,19700206,   -8
  260,19700207,    9
  260,19700208,   44
  260,19700209,   35
  260,19700210,   10
  260,19700211,    8
  260,19700212,   -9
  260,19700213,    0
  260,19700214,  -24
  260,19700215,  -53
  260,19700216,  -15
  260,19700217,  -43
  260,19700218,  -32
  260,19700219,    1
  260,19700220,   52
  260,19700221,   44
  260,19700222,   81
  260,19700223,   53
  260,19700224,   44
  260,19700225,   21
  260,19700226,   16
  260,19700227,   -3
  260,19700228,   -7
  260,19700301,   24
  260,19700302,   24
  260,19700303,   10
  260,19700304,    3
  260,19700305,    3
  260,19700306,    7
  260,19700307,    0
  260,19700308,   -9
  260,19700309,   -8
  260,19700310,   -5
  260,19700311,   10
  260,19700312,   33
  260,19700313,   20
  260,19700314,    6
  260,19700315,   12
  260,19700316,   49
  260,19700317,   64
  260,19700318,   59
  260,19700319,   51
  260,19700320,   64
  260,19700321,   73
  260,19700322,   68
  260,19700323,   56
  260,19700324,   47
  260,19700325,   30
  260,19700326,   22
  260,19700327,   19
  260,19700328,   26
  260,19700329,   40
  260,19700330,   69
  260,19700331,   54
  260,19700401,   27
  260,19700402,   12
  260,19700403,   28
  260,19700404,   25
  260,19700405,   23
  260,19700406,   24
  260,19700407,   15
  260,19700408,   15
  260,19700409,   22
  260,19700410,   33
  260,19700411,   45
  260,19700412,   77
  260,19700413,   68
  260,19700414,   47
  260,19700415,   72
  260,19700416,  119
  260,19700417,  120
  260,19700418,  108
  260,19700419,   83
  260,19700420,   62
  260,19700421,   82
  260,19700422,  110
  260,19700423,  108
  260,19700424,  103
  260,19700425,  102
  260,19700426,   70
  260,19700427,   63
  260,19700428,   62
  260,19700429,   56
  260,19700430,   54
  260,19700501,   70
  260,19700502,   95
  260,19700503,  117
  260,19700504,  122
  260,19700505,  150
  260,19700506,  165
  260,19700507,  163
  260,19700508,  169
  260,19700509,  159
  260,19700510,  172
  260,19700511,  175
  260,19700512,  147
  260,19700513,  131
  260,19700514,  132
  260,19700515,  133
  260,19700516,  140
  260,19700517,  129
  260,19700518,  130
  260,19700519,  123
  260,19700520,  111
  260,19700521,  103
  260,19700522,   83
  260,19700523,  106
  260,19700524,  137
  260,19700525,  145
  260,19700526,  129
  260,19700527,  100
  260,19700528,  120
  260,19700529,  129
  260,19700530,  135
  260,19700531,  139
  260,19700601,  135
  260,19700602,  119
  260,19700603,  138
  260,19700604,  150
  260,19700605,  171
  260,19700606,  203
  260,19700607,  221
  260,19700608,  231
  260,19700609,  233
  260,19700610,  220
  260,19700611,  209
  260,19700612,  166
  260,19700613,  143
  260,19700614,  124
  260,19700615,  127
  260,19700616,  154
  260,19700617,  199
  260,19700618,  209
  260,19700619,  203
  260,19700620,  197
  260,19700621,  185
  260,19700622,  204
  260,19700623,  180
  260,19700624,  162
  260,19700625,  169
  260,19700626,  181
  260,19700627,  207
  260,19700628,  166
  260,19700629,  139
  260,19700630,  130
  260,19700701,  133
  260,19700702,  124
  260,19700703,  134
  260,19700704,  142
  260,19700705,  168
  260,19700706,  193
  260,19700707,  223
  260,19700708,  223
  260,19700709,  183
  260,19700710,  156
  260,19700711,  150
  260,19700712,  169
  260,19700713,  186
  260,19700714,  130
  260,19700715,  131
  260,19700716,  124
  260,19700717,  127
  260,19700718,  147
  260,19700719,  148
  260,19700720,  124
  260,19700721,  128
  260,19700722,  139
  260,19700723,  154
  260,19700724,  174
  260,19700725,  139
  260,19700726,  146
  260,19700727,  170
  260,19700728,  190
  260,19700729,  163
  260,19700730,  165
  260,19700731,  189
  260,19700801,  194
  260,19700802,  219
  260,19700803,  214
  260,19700804,  202
  260,19700805,  201
  260,19700806,  203
  260,19700807,  185
  260,19700808,  162
  260,19700809,  173
  260,19700810,  158
  260,19700811,  153
  260,19700812,  146
  260,19700813,  185
  260,19700814,  165
  260,19700815,  145
  260,19700816,  154
  260,19700817,  135
  260,19700818,  147
  260,19700819,  170
  260,19700820,  162
  260,19700821,  146
  260,19700822,  149
  260,19700823,  162
  260,19700824,  177
  260,19700825,  153
  260,19700826,  158
  260,19700827,  167
  260,19700828,  149
  260,19700829,  183
  260,19700830,  174
  260,19700831,  168
  260,19700901,  152
  260,19700902,  141
  260,19700903,  155
  260,19700904,  150
  260,19700905,  158
  260,19700906,  136
  260,19700907,  153
  260,19700908,  171
  260,19700909,  153
  260,19700910,  140
  260,19700911,  132
  260,19700912,  133
  260,19700913,  131
  260,19700914,  143
  260,19700915,  165
  260,19700916,  128
  260,19700917,  140
  260,19700918,  138
  260,19700919,  152
  260,19700920,  157
  260,19700921,  148
  260,19700922,  116
  260,19700923,  104
  260,19700924,  108
  260,19700925,  144
  260,19700926,  156
  260,19700927,  162
  260,19700928,  163
  260,19700929,  150
  260,19700930,  132
  260,19701001,  125
  260,19701002,  120
  260,19701003,  103
  260,19701004,  114
  260,19701005,  140
  260,19701006,  132
  260,19701007,  109
  260,19701008,   90
  260,19701009,   95
  260,19701010,  123
  260,19701011,  158
  260,19701012,  137
  260,19701013,  127
  260,19701014,  107
  260,19701015,   82
  260,19701016,   70
  260,19701017,   77
  260,19701018,   95
  260,19701019,  104
  260,19701020,   67
  260,19701021,   81
  260,19701022,   80
  260,19701023,   89
  260,19701024,  103
  260,19701025,  113
  260,19701026,  103
  260,19701027,   86
  260,19701028,  117
  260,19701029,  109
  260,19701030,  128
  260,19701031,  128
  260,19701101,  124
  260,19701102,  128
  260,19701103,  128
  260,19701104,  102
  260,19701105,   99
  260,19701106,   69
  260,19701107,   47
  260,19701108,   43
  260,19701109,   91
  260,19701110,   69
  260,19701111,  114
  260,19701112,   91
  260,19701113,   57
  260,19701114,   56
  260,19701115,   51
  260,19701116,   38
  260,19701117,   57
  260,19701118,  105
  260,19701119,  103
  260,19701120,   64
  260,19701121,   58
  260,19701122,   29
  260,19701123,   52
  260,19701124,   70
  260,19701125,   65
  260,19701126,   55
  260,19701127,   53
  260,19701128,   52
  260,19701129,   93
  260,19701130,   89
  260,19701201,   76
  260,19701202,   70
  260,19701203,   70
  260,19701204,   63
  260,19701205,   70
  260,19701206,   64
  260,19701207,   54
  260,19701208,   47
  260,19701209,   50
  260,19701210,   72
  260,19701211,   51
  260,19701212,   16
