# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TX, T10N
# 
  270,20160101,   50,   90,   -9
  270,20160102,   34,   45,   21
  270,20160103,   11,   21,   -2
  270,20160104,  -18,   13,  -29
  270,20160105,  -21,  -12,  -31
  270,20160106,  -34,  -26,  -42
  270,20160107,   10,   65,  -25
  270,20160108,   55,   83,   13
  270,20160109,   42,   62,    4
  270,20160110,   57,   73,   30
  270,20160111,   42,   58,   24
  270,20160112,   53,   76,   23
  270,20160113,   41,   71,    3
  270,20160114,   24,   53,    3
  270,20160115,   20,   46,  -18
  270,20160116,   21,   47,  -13
  270,20160117,   -4,   32,  -55
  270,20160118,  -26,   -5,  -58
  270,20160119,   -5,   25,  -51
  270,20160120,    9,   46,  -53
  270,20160121,  -16,    0,  -51
  270,20160122,    0,   33,  -30
  270,20160123,   59,   89,   23
  270,20160124,   68,   96,   45
  270,20160125,   98,  131,   66
  270,20160126,   75,   96,   39
  270,20160127,  101,  116,   72
  270,20160128,   60,   78,   36
  270,20160129,   89,  103,   49
  270,20160130,   67,   93,   21
  270,20160131,   56,   71,   33
  270,20160201,   97,  107,   64
  270,20160202,   78,   91,   56
  270,20160203,   50,   65,   30
  270,20160204,   50,   64,   33
  270,20160205,   75,   96,   42
  270,20160206,   89,  100,   76
  270,20160207,   80,  103,   57
  270,20160208,   76,   88,   54
  270,20160209,   54,   75,   17
  270,20160210,   52,   77,   17
  270,20160211,   37,   75,  -24
  270,20160212,   13,   42,  -19
  270,20160213,    9,   33,  -19
  270,20160214,   29,   34,   13
  270,20160215,   20,   54,  -48
  270,20160216,    8,   55,  -59
  270,20160217,   -9,   26,  -43
  270,20160218,    4,   19,  -47
  270,20160219,   25,   67,  -47
  270,20160220,   68,   86,   43
  270,20160221,   91,  108,   65
  270,20160222,   58,   99,   21
  270,20160223,   39,   74,   -5
  270,20160224,   20,   60,  -26
  270,20160225,   15,   56,  -35
  270,20160226,   18,   61,  -53
  270,20160227,    9,   66,  -57
  270,20160228,   27,   70,  -57
  270,20160229,   22,   70,  -58
  270,20160301,   17,   73,  -54
  270,20160302,   46,   77,   16
  270,20160303,   26,   67,  -14
  270,20160304,   18,   31,    1
  270,20160305,   20,   67,  -35
  270,20160306,   23,   63,  -44
  270,20160307,   22,   69,  -43
  270,20160308,   40,   73,    1
  270,20160309,   44,   82,    7
  270,20160310,   32,   67,  -13
  270,20160311,   15,   52,  -49
  270,20160312,   26,   86,  -57
  270,20160313,   19,   75,  -53
  270,20160314,   39,   89,  -30
  270,20160315,   55,   89,    9
  270,20160316,   41,   92,   -7
  270,20160317,   40,  104,  -53
  270,20160318,   57,   87,   40
  270,20160319,   59,   73,   44
  270,20160320,   63,   79,   16
  270,20160321,   68,   82,   55
  270,20160322,   73,   99,   51
  270,20160323,   67,   97,   33
  270,20160324,   68,   90,   43
  270,20160325,   64,   93,  -18
  270,20160326,   89,  148,  -17
  270,20160327,   85,  114,   52
  270,20160328,   84,  116,   58
  270,20160329,   70,  101,   38
  270,20160330,   61,  100,    4
  270,20160331,   58,  101,    0
  270,20160401,   67,  119,  -42
  270,20160402,   95,  132,   43
  270,20160403,  122,  168,   75
  270,20160404,  118,  154,   41
  270,20160405,   98,  122,   73
  270,20160406,   75,  112,   36
  270,20160407,   73,   97,   50
  270,20160408,   72,  109,    5
  270,20160409,   96,  145,    4
  270,20160410,   91,  128,   59
  270,20160411,  114,  156,   59
  270,20160412,  107,  154,   74
  270,20160413,  103,  151,   37
  270,20160414,  100,  153,   38
  270,20160415,   93,  112,   44
  270,20160416,   75,  108,   17
  270,20160417,   59,  103,    1
  270,20160418,   89,  122,   33
  270,20160419,   83,  111,   43
  270,20160420,   64,  108,   -2
  270,20160421,   63,  124,  -35
  270,20160422,   65,  106,    2
  270,20160423,   50,   85,    4
  270,20160424,   44,   82,    3
  270,20160425,   46,   96,    4
  270,20160426,   43,   81,    9
  270,20160427,   50,   89,    6
