# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# Q        = Globale straling (in J/cm2); 
# 
# STN,YYYYMMDD,    Q
# 
  270,20150101,  112
  270,20150102,  300
  270,20150103,  135
  270,20150104,  319
  270,20150105,   87
  270,20150106,  201
  270,20150107,  304
  270,20150108,   36
  270,20150109,  107
  270,20150110,  142
  270,20150111,  293
  270,20150112,   59
  270,20150113,   93
  270,20150114,  152
  270,20150115,   72
  270,20150116,  202
  270,20150117,  421
  270,20150118,   93
  270,20150119,  252
  270,20150120,  106
  270,20150121,  280
  270,20150122,  469
  270,20150123,  431
  270,20150124,  464
  270,20150125,  167
  270,20150126,  121
  270,20150127,  306
  270,20150128,   62
  270,20150129,  206
  270,20150130,  602
  270,20150131,  448
  270,20150201,  276
  270,20150202,  366
  270,20150203,  654
  270,20150204,  533
  270,20150205,  511
  270,20150206,  708
  270,20150207,  283
  270,20150208,  449
  270,20150209,  359
  270,20150210,  173
  270,20150211,  126
  270,20150212,   87
  270,20150213,  671
  270,20150214,  415
  270,20150215,  357
  270,20150216,  607
  270,20150217,  582
  270,20150218,  864
  270,20150219,  629
  270,20150220,  195
  270,20150221,  677
  270,20150222,  850
  270,20150223,  806
  270,20150224,  598
  270,20150225,  266
  270,20150226,  469
  270,20150227,  847
  270,20150228,  763
  270,20150301, 1060
  270,20150302,  779
  270,20150303,  442
  270,20150304,  703
  270,20150305,  854
  270,20150306,  666
  270,20150307,  869
  270,20150308, 1251
  270,20150309, 1034
  270,20150310, 1343
  270,20150311, 1406
  270,20150312, 1457
  270,20150313, 1364
  270,20150314,  303
  270,20150315,  494
  270,20150316, 1227
  270,20150317, 1245
  270,20150318, 1319
  270,20150319, 1316
  270,20150320,  342
  270,20150321,  719
  270,20150322, 1438
  270,20150323,  714
  270,20150324,  785
  270,20150325,  244
  270,20150326,  563
  270,20150327,  674
  270,20150328,  609
  270,20150329,  405
  270,20150330, 1402
  270,20150331, 1094
  270,20150401, 1460
  270,20150402, 1569
  270,20150403, 1467
  270,20150404, 1371
  270,20150405, 2026
  270,20150406, 1039
  270,20150407,  692
  270,20150408, 1016
  270,20150409, 1304
  270,20150410, 1845
  270,20150411,  818
  270,20150412, 1907
  270,20150413, 1778
  270,20150414, 1748
  270,20150415, 2160
  270,20150416, 2016
  270,20150417, 1772
  270,20150418, 2277
  270,20150419, 1226
  270,20150420, 2317
  270,20150421, 2116
  270,20150422,  922
  270,20150423, 2081
  270,20150424, 2150
  270,20150425,  492
  270,20150426,  705
  270,20150427, 2427
  270,20150428, 1555
  270,20150429, 1251
  270,20150430, 2021
  270,20150501, 1571
  270,20150502, 1873
  270,20150503,  839
  270,20150504, 1753
  270,20150505, 1720
  270,20150506, 1642
  270,20150507, 1844
  270,20150508, 1599
  270,20150509,  978
  270,20150510, 2458
  270,20150511, 2271
  270,20150512, 1770
  270,20150513, 2663
  270,20150514,  976
  270,20150515, 1659
  270,20150516, 1328
  270,20150517, 2033
  270,20150518,  659
  270,20150519, 1927
  270,20150520, 1864
  270,20150521, 2509
  270,20150522, 2335
  270,20150523, 2070
  270,20150524, 2762
  270,20150525, 1164
  270,20150526, 1546
  270,20150527, 1978
  270,20150528, 1695
  270,20150529,  876
  270,20150530, 2104
  270,20150531,  679
  270,20150601, 2225
  270,20150602,  325
  270,20150603, 2283
  270,20150604, 2463
  270,20150605, 2461
  270,20150606, 2960
  270,20150607, 2923
  270,20150608, 2425
  270,20150609, 1215
  270,20150610, 2744
  270,20150611, 3009
  270,20150612, 2890
  270,20150613,  635
  270,20150614,  589
  270,20150615, 2400
  270,20150616, 2183
  270,20150617, 1641
  270,20150618, 1567
  270,20150619, 1548
  270,20150620, 1798
  270,20150621, 1054
  270,20150622, 1701
  270,20150623,  630
  270,20150624, 1936
  270,20150625, 2404
  270,20150626, 1375
  270,20150627, 2515
  270,20150628, 1183
  270,20150629, 2754
  270,20150630, 2942
  270,20150701, 2884
  270,20150702, 2527
  270,20150703, 2627
  270,20150704, 2431
  270,20150705, 1214
  270,20150706, 2811
  270,20150707, 1622
  270,20150708, 1954
  270,20150709, 2261
