Country Name;Country Code;1960_0to14;1960_15to64;1960_65plus;2015_0to14;2015_15to64;2015_65plus
Aruba;ABW;43,84777155;53,66735537;2,484873081;18,33687878;69,46741233;12,19570888
Andorra;AND;;;;;;
Afghanistan;AFG;42,17060915;55,03040481;2,798986036;44,04194947;53,48896081;2,469089724
Angola;AGO;44,31307396;53,0594531;2,627472944;47,65044117;50,03608828;2,313470552
Albania;ALB;40,15490931;54,4346947;5,410395989;18,54620412;69,05746201;12,39633387
Arab World;ARB;43,17618674;53,28798123;3,535832032;33,22900277;62,43927945;4,331717778
United Arab Emirates;ARE;44,70263033;51,89392303;3,403446638;13,93747032;84,92465242;1,137877263
Argentina;ARG;30,72561693;63,69539371;5,578989358;25,19419749;63,87924892;10,92655359
Armenia;ARM;38,43400114;55,19514875;6,370850104;18,38389482;70,79012179;10,82598339
American Samoa;ASM;;;;;;
Antigua and Barbuda;ATG;42,74245167;53,12448565;4,133062673;24,1782657;68,6575617;7,164172602
Australia;AUS;30,18209291;61,21579102;8,602116062;18,6980894;66,25703571;15,04487489
Austria;AUT;22,22085408;65,63911387;12,14003206;14,20763979;67,03323016;18,75913005
Azerbaijan;AZE;38,58088314;54,98473661;6,43438025;21,91854638;72,45536381;5,626089813
Burundi;BDI;43,54152163;53,51137889;2,947099478;44,80131848;52,72740544;2,471276074
Belgium;BEL;23,88065155;64,13377382;11,98557463;16,94444169;64,83074188;18,22481643
Benin;BEN;38,53200747;56,44677211;5,021220421;42,15840157;54,95043167;2,891166764
Burkina Faso;BFA;41,32064106;56,34889262;2,330466315;45,57206429;52,03462802;2,393307695
Bangladesh;BGD;41,85160208;55,46415278;2,684245138;29,44697472;65,57946892;4,973556365
Bulgaria;BGR;26,07383589;66,43933901;7,486825098;14,14401576;65,8285065;20,02747774
Bahrain;BHR;41,27605369;55,69134959;3,032596722;21,47495311;76,11420547;2,410841417
Bahamas, The;BHS;42,38993481;53,83105381;3,779011376;20,92114046;70,79833719;8,280522346
Bosnia and Herzegovina;BIH;37,77497107;58,76995632;3,455072608;13,49808;71,05796323;15,44395678
Belarus;BLR;28,86061304;62,77959767;8,35978929;16,06820723;69,95087105;13,98092172
Belize;BLZ;45,27523135;50,57457531;4,150193335;32,4542775;63,78327076;3,762451745
Bermuda;BMU;;;;;;
Bolivia;BOL;42,31971671;53,08468963;4,59559366;32,44523742;61,089326;6,465436578
Brazil;BRA;43,35352569;53,50778141;3,138692893;23,02764602;69,12767902;7,844674968
Barbados;BRB;38,08101016;55,10838595;6,810603895;19,36597294;66,47010186;14,1639252
Brunei Darussalam;BRN;43,52581729;52,53895509;3,93522762;23,10816942;72,47228182;4,419548758
Bhutan;BTN;41,40414443;56,278223;2,31763257;26,86524786;68,07196417;5,062787966
Botswana;BWA;45,5949957;50,42392692;3,981077383;31,9980906;64,4038303;3,598079103
Central African Republic;CAF;38,24420469;57,45982211;4,295973199;39,05261216;57,09192996;3,855457878
Canada;CAN;33,73278653;58,59532112;7,671892351;15,97205804;67,8921635;16,13577846
Central Europe and the Baltics;CEB;29,22277064;63,56940252;7,207826841;14,97930383;68,04905294;16,97164323
Switzerland;CHE;24,14660166;65,66922577;10,18417256;14,77535598;67,182798;18,04184602
Channel Islands;CHI;21,5191146;65,31498186;13,16590355;14,70872126;68,02287222;17,26840652
Chile;CHL;38,85725936;56,21359327;4,929147372;20,14693332;68,85005528;11,0030114
China;CHN;39,95528387;56,39455853;3,650157605;17,23160046;73,21719297;9,551206566
Cote d'Ivoire;CIV;41,57328755;55,94116252;2,485549931;42,47431762;54,49876652;3,026915864
Cameroon;CMR;40,02673199;56,3873915;3,585876512;42,52268628;54,27173087;3,205582856
Congo, Rep.;COG;41,35189985;54,97271555;3,675384602;42,63072118;53,70843641;3,660842407
Colombia;COL;46,44194577;50,38567063;3,172383605;24,28677329;68,67422148;7,039005236
Comoros;COM;41,76027383;55,06538372;3,174342454;40,27374397;56,93275872;2,793497313
Cabo Verde;CPV;42,14644418;52,81490342;5,038652405;29,65060653;65,76862337;4,580770103
Costa Rica;CRI;44,72169669;52,25671809;3,021585216;22,30866188;68,79029088;8,901047246
Caribbean small states;CSS;43,27221339;52,58659915;4,14118746;24,05381315;67,59845088;8,34773597
Cuba;CUB;35,06056255;60,28768;4,651757446;16,3053329;69,72182073;13,97284637
Curacao;CUW;41,22294961;53,9069947;4,870055696;18,97610096;66,18257921;14,84131982
Cayman Islands;CYM;;;;;;
Cyprus;CYP;36,70751524;57,38913548;5,903349281;16,55101691;70,60353557;12,84544752
Czech Republic;CZE;25,71174642;64,95196003;9,336293547;15,04189531;66,88211704;18,07598766
Germany;DEU;21,43779286;67,05092186;11,51128527;12,88582413;65,87352393;21,24065194
Djibouti;DJI;43,3581233;54,32708403;2,314792673;32,73541692;63,07800433;4,186578755
Dominica;DMA;;;;;;
Denmark;DNK;25,20036204;64,18516526;10,6144727;16,8810077;64,15955249;18,95943981
Dominican Republic;DOM;48,20058293;49,22270198;2,576715091;29,95884176;63,38849877;6,652659461
Algeria;DZA;44,53909305;52,2397341;3,221172844;28,53871044;65,52325149;5,938038072
East Asia & Pacific (excluding high income);EAP;40,33252673;56,03589422;3,631579048;20,2951247;71,3163434;8,388522279
Early-demographic dividend;EAR;41,09684224;55,58085181;3,322305942;29,97807122;64,64097361;5,380955169
East Asia & Pacific;EAS;39,32232683;56,79928051;3,87839266;19,67873782;70,70322148;9,618032025
Europe & Central Asia (excluding high income);ECA;31,69386727;62,20064219;6,105490536;20,33920759;68,46832664;11,19294326
Europe & Central Asia;ECS;28,03863915;63,53986886;8,421491995;17,71491558;66,71313552;15,57216532
Ecuador;ECU;43,40352362;51,89944095;4,697035429;29,01927441;64,27653417;6,704191426
Egypt, Arab Rep.;EGY;41,73670326;54,30502146;3,958275287;33,16028013;61,61945867;5,220261196
Euro area;EMU;25,11832743;64,65889613;10,22277644;15,13196588;64,83833753;20,02969659
Eritrea;ERI;45,131359;52,54153965;2,32710135;;;
Spain;ESP;27,35541244;64,46108787;8,183499691;14,88167858;66,32885532;18,7894661
Estonia;EST;23,0995923;66,35317476;10,54723294;16,0878224;65,15247326;18,75970433
Ethiopia;ETH;43,45966439;53,90002482;2,640310795;41,44022759;55,07588181;3,483890604
European Union;EUU;25,66802764;64,49700715;9,834965211;15,50295603;65,30415162;19,19289234
Fragile and conflict affected situations;FCS;42,20074722;54,64015252;3,159100257;40,48519024;56,15097097;3,364243298
